date,home_team,away_team,home_score,away_score,tournament
1923-11-18,Argentina,Brazil,2,1,Copa América
1923-11-25,Uruguay,Brazil,2,1,Copa América
1923-12-02,Argentina,Brazil,0,2,Friendly
1923-12-02,Uruguay,Argentina,2,0,Copa América
1923-12-09,Argentina,Brazil,2,0,Copa Roca
1923-12-16,Spain,Portugal,3,0,Friendly
1924-01-13,France,Belgium,2,0,Friendly
1924-03-09,Italy,Spain,0,0,Friendly
1924-03-23,Netherlands,Belgium,1,1,Friendly
1924-04-21,Netherlands,Germany,0,1,Friendly
1924-04-27,Belgium,Netherlands,1,1,Friendly
1924-05-17,France,England,1,3,Friendly
1924-05-25,Argentina,Uruguay,4,0,Copa Newton
1924-05-25,Uruguay,Argentina,2,0,Copa Lipton
1924-05-25,Italy,Spain,1,0,Olympic Games
1924-05-29,Uruguay,United States,3,0,Olympic Games
1924-06-01,France,Uruguay,1,5,Olympic Games
1924-06-06,Uruguay,Netherlands,2,1,Olympic Games
1924-09-21,Uruguay,Argentina,1,1,Friendly
1924-10-02,Argentina,Uruguay,2,1,Friendly
1924-11-02,Uruguay,Argentina,0,0,Copa América
1924-11-11,Belgium,France,3,0,Friendly
1924-11-23,Germany,Italy,0,1,Friendly
1924-12-08,England,Belgium,4,0,Friendly
1925-03-15,Belgium,Netherlands,0,1,Friendly
1925-03-22,Italy,France,7,0,Friendly
1925-03-29,Netherlands,Germany,2,1,Friendly
1925-05-03,Netherlands,Belgium,5,0,Friendly
1925-05-21,France,England,2,3,Friendly
1925-06-14,Spain,Italy,1,0,Friendly
1925-06-18,Portugal,Italy,1,0,Friendly
1925-12-13,Argentina,Brazil,4,1,Copa América
1925-12-25,Argentina,Brazil,2,2,Copa América
1926-03-14,Belgium,Netherlands,1,1,Friendly
1926-04-11,France,Belgium,4,3,Friendly
1926-04-18,France,Portugal,4,2,Friendly
1926-04-18,Germany,Netherlands,4,2,Friendly
1926-05-02,Netherlands,Belgium,1,5,Friendly
1926-05-24,Belgium,England,3,5,Friendly
1926-06-20,Belgium,France,2,2,Friendly
1926-10-24,Argentina,Uruguay,0,2,Copa América
1926-10-31,Netherlands,Germany,2,3,Friendly
1927-03-13,Belgium,Netherlands,2,0,Friendly
1927-03-16,Portugal,France,4,0,Friendly
1927-04-17,Italy,Portugal,3,1,Friendly
1927-04-24,France,Italy,3,3,Friendly
1927-05-01,Netherlands,Belgium,3,2,Friendly
1927-05-11,Belgium,England,1,9,Friendly
1927-05-22,France,Spain,1,4,Friendly
1927-05-26,France,England,0,6,Friendly
1927-05-29,Italy,Spain,2,0,Friendly
1927-07-14,Uruguay,Argentina,0,1,Copa Newton
1927-08-30,Argentina,Uruguay,0,1,Copa Lipton
1927-11-20,Argentina,Uruguay,3,2,Copa América
1927-11-20,Germany,Netherlands,2,2,Friendly
1928-01-08,Portugal,Spain,2,2,Friendly
1928-03-11,Netherlands,Belgium,1,1,Friendly
1928-04-01,Belgium,Netherlands,1,0,Friendly
1928-04-01,Portugal,Argentina,0,0,Friendly
1928-04-15,France,Belgium,2,3,Friendly
1928-04-15,Portugal,Italy,4,1,Friendly
1928-04-22,Spain,Italy,1,1,Friendly
1928-04-29,France,Portugal,1,1,Friendly
1928-05-17,France,England,1,5,Friendly
1928-05-19,Belgium,England,1,3,Friendly
1928-05-29,Italy,France,4,3,Olympic Games
1928-05-29,Argentina,United States,11,2,Olympic Games
1928-05-30,Spain,Mexico,7,1,Olympic Games
1928-05-30,Netherlands,Uruguay,0,2,Olympic Games
1928-06-01,Italy,Spain,1,1,Olympic Games
1928-06-02,Argentina,Belgium,6,3,Olympic Games
1928-06-03,Uruguay,Germany,4,1,Olympic Games
1928-06-04,Italy,Spain,7,1,Olympic Games
1928-06-05,Netherlands,Belgium,3,1,Olympic Games
1928-06-07,Uruguay,Italy,3,2,Olympic Games
1928-06-10,Uruguay,Argentina,1,1,Olympic Games
1928-06-13,Uruguay,Argentina,2,1,Olympic Games
1928-08-30,Argentina,Uruguay,1,0,Copa Newton
1928-09-21,Uruguay,Argentina,2,2,Copa Lipton
1928-11-04,Netherlands,Belgium,1,1,Friendly
1928-12-02,Italy,Netherlands,3,2,Friendly
1929-03-17,Spain,Portugal,5,0,Friendly
1929-03-24,France,Portugal,2,0,Friendly
1929-04-14,Spain,France,8,1,Friendly
1929-04-28,Italy,Germany,1,2,Friendly
1929-05-05,Belgium,Netherlands,3,1,Friendly
1929-05-09,France,England,1,4,Friendly
1929-05-11,Belgium,England,1,5,Friendly
1929-05-15,Spain,England,4,3,Friendly
1929-05-26,Belgium,France,4,1,Friendly
1929-06-16,Argentina,Uruguay,2,0,Friendly
1929-06-16,Uruguay,Argentina,1,1,Friendly
1929-09-20,Uruguay,Argentina,2,1,Copa Newton
1929-09-28,Argentina,Uruguay,0,0,Copa Lipton
1929-11-17,Argentina,Uruguay,2,0,Copa América
1929-12-01,Italy,Portugal,6,1,Friendly
1930-02-23,Portugal,France,2,0,Friendly
1930-03-02,Germany,Italy,0,2,Friendly
1930-04-06,Netherlands,Italy,1,1,Friendly
1930-04-13,France,Belgium,1,6,Friendly
1930-05-04,Netherlands,Belgium,2,2,Friendly
1930-05-10,Germany,England,3,3,Friendly
1930-05-18,Belgium,Netherlands,3,1,Friendly
1930-05-25,Argentina,Uruguay,1,1,Copa Newton
1930-05-25,Belgium,France,1,2,Friendly
1930-06-08,Belgium,Portugal,2,1,Friendly
1930-06-22,Italy,Spain,2,3,Friendly
1930-07-13,Belgium,United States,0,3,FIFA World Cup
1930-07-13,France,Mexico,4,1,FIFA World Cup
1930-07-15,Argentina,France,1,0,FIFA World Cup
1930-07-19,Argentina,Mexico,6,3,FIFA World Cup
1930-07-26,Argentina,United States,6,1,FIFA World Cup
1930-07-30,Uruguay,Argentina,4,2,FIFA World Cup
1930-08-01,Brazil,France,3,2,Friendly
1930-08-17,Brazil,United States,4,3,Friendly
1930-11-30,Portugal,Spain,0,1,Friendly
1930-12-07,France,Belgium,2,2,Friendly
1931-01-25,Italy,France,5,0,Friendly
1931-03-15,France,Germany,1,0,Friendly
1931-03-29,Netherlands,Belgium,3,2,Friendly
1931-04-12,Portugal,Italy,0,2,Friendly
1931-04-19,Spain,Italy,0,0,Friendly
1931-04-26,Netherlands,Germany,1,1,Friendly
1931-05-03,Belgium,Netherlands,4,2,Friendly
1931-05-14,France,England,5,2,Friendly
1931-05-16,Belgium,England,1,4,Friendly
1931-05-31,Portugal,Belgium,3,2,Friendly
1931-09-06,Brazil,Uruguay,2,0,Copa Rio Branco
1931-11-29,France,Netherlands,3,4,Friendly
1931-12-09,England,Spain,7,1,Friendly
1932-03-20,Belgium,Netherlands,1,4,Friendly
1932-04-10,France,Italy,1,2,Friendly
1932-04-17,Netherlands,Belgium,2,1,Friendly
1932-05-01,Belgium,France,5,2,Friendly
1932-05-15,Argentina,Uruguay,2,0,Friendly
1932-05-18,Uruguay,Argentina,1,0,Friendly
1932-12-04,Germany,Netherlands,0,2,Friendly
1932-12-04,Uruguay,Brazil,1,2,Copa Rio Branco
1933-01-01,Italy,Germany,3,1,Friendly
1933-01-21,Uruguay,Argentina,2,1,Friendly
1933-02-05,Argentina,Uruguay,4,1,Friendly
1933-02-12,Belgium,Italy,2,3,Friendly
1933-03-19,Germany,France,3,3,Friendly
1933-03-26,France,Belgium,3,0,Friendly
1933-04-02,Spain,Portugal,3,0,Friendly
1933-04-09,Belgium,Netherlands,1,3,Friendly
1933-04-23,France,Spain,1,0,Friendly
1933-05-07,Netherlands,Belgium,1,2,Friendly
1933-05-13,Italy,England,1,1,Friendly
1933-10-22,Germany,Belgium,8,1,Friendly
1933-12-06,England,France,4,1,Friendly
1933-12-14,Uruguay,Argentina,0,1,Friendly
1934-01-21,Belgium,France,2,3,Friendly
1934-03-11,Netherlands,Belgium,9,3,Friendly
1934-03-11,Spain,Portugal,9,0,FIFA World Cup qualification
1934-03-18,Portugal,Spain,1,2,FIFA World Cup qualification
1934-04-29,Belgium,Netherlands,2,4,FIFA World Cup qualification
1934-05-10,Netherlands,France,4,5,Friendly
1934-05-24,Mexico,United States,2,4,FIFA World Cup qualification
1934-05-27,Belgium,Germany,2,5,FIFA World Cup
1934-05-27,Brazil,Spain,1,3,FIFA World Cup
1934-05-27,Italy,United States,7,1,FIFA World Cup
1934-05-31,Italy,Spain,1,1,FIFA World Cup
1934-06-01,Italy,Spain,1,0,FIFA World Cup
1934-07-18,Uruguay,Argentina,2,2,Friendly
1934-08-15,Argentina,Uruguay,1,0,Friendly
1934-11-14,England,Italy,3,2,Friendly
1935-01-24,Spain,France,2,0,Friendly
1935-01-27,Argentina,Uruguay,0,3,Copa América
1935-02-17,Italy,France,2,1,Friendly
1935-02-17,Netherlands,Germany,2,3,Friendly
1935-03-17,France,Germany,1,3,Friendly
1935-03-31,Netherlands,Belgium,4,2,Friendly
1935-04-14,Belgium,France,1,1,Friendly
1935-04-28,Belgium,Germany,1,6,Friendly
1935-05-05,Portugal,Spain,3,3,Friendly
1935-05-12,Belgium,Netherlands,0,2,Friendly
1935-05-12,Germany,Spain,1,2,Friendly
1935-05-18,Netherlands,England,0,1,Friendly
1935-07-18,Uruguay,Argentina,1,1,Friendly
1935-08-15,Argentina,Uruguay,3,0,Friendly
1935-12-04,England,Germany,3,0,Friendly
1936-01-12,France,Netherlands,1,6,Friendly
1936-02-23,Spain,Germany,1,2,Friendly
1936-02-27,Portugal,Germany,1,3,Friendly
1936-03-08,France,Belgium,3,0,Friendly
1936-03-29,Netherlands,Belgium,8,0,Friendly
1936-05-03,Belgium,Netherlands,1,1,Friendly
1936-05-09,Belgium,England,3,2,Friendly
1936-08-09,Argentina,Uruguay,1,0,Friendly
1936-09-20,Uruguay,Argentina,2,1,Friendly
1936-11-15,Germany,Italy,2,2,Friendly
1937-01-19,Brazil,Uruguay,3,2,Copa América
1937-01-23,Argentina,Uruguay,2,3,Copa América
1937-01-30,Argentina,Brazil,1,0,Copa América
1937-01-31,Germany,Netherlands,2,2,Friendly
1937-02-01,Argentina,Brazil,2,0,Copa América
1937-02-21,Belgium,France,3,1,Friendly
1937-03-21,Germany,France,4,0,Friendly
1937-04-04,Belgium,Netherlands,2,1,Friendly
1937-04-25,Germany,Belgium,1,0,Friendly
1937-05-02,Netherlands,Belgium,1,0,Friendly
1937-09-12,Mexico,United States,7,2,Friendly
1937-09-19,Mexico,United States,7,3,Friendly
1937-10-10,Uruguay,Argentina,0,3,Copa Newton
1937-10-31,Netherlands,France,2,3,Friendly
1937-11-11,Argentina,Uruguay,5,1,Copa Lipton
1937-11-28,Spain,Portugal,1,2,Friendly
1937-12-05,France,Italy,0,0,Friendly
1938-01-30,France,Belgium,5,3,Friendly
1938-01-30,Portugal,Spain,1,0,Friendly
1938-02-10,Mexico,Colombia,3,1,Central American and Caribbean Games
1938-02-27,Netherlands,Belgium,7,2,Friendly
1938-04-03,Belgium,Netherlands,1,1,FIFA World Cup qualification
1938-04-24,Germany,Portugal,1,1,Friendly
1938-05-14,Germany,England,3,6,Friendly
1938-05-15,Italy,Belgium,6,1,Friendly
1938-05-26,France,England,2,4,Friendly
1938-06-05,France,Belgium,3,1,FIFA World Cup
1938-06-12,France,Italy,1,3,FIFA World Cup
1938-06-16,Brazil,Italy,1,2,FIFA World Cup
1938-06-18,Argentina,Uruguay,1,0,Friendly
1938-10-12,Uruguay,Argentina,2,3,Friendly
1938-12-04,Italy,France,1,0,Friendly
1939-01-15,Brazil,Argentina,1,5,Copa Roca
